,batch_size,augmentation,optimizer,train_loss,valid_loss,train_acc,valid_acc
0,32,no,SGD,0.856367523452447,0.5525472130828772,85.174,81.19
1,32,no,SGD with Nesterov,0.8243062661976214,0.5511436348858352,85.348,81.77
2,32,no,ASGD,1.0491678201648873,0.8107274587923726,81.768,73.52
3,32,no,Adam,2.5859608053779723,1.659058007950219,54.276,40.510000000000005
4,32,no,Adamax,1.8408483319837774,1.019997909522285,67.94200000000001,64.22
5,32,no,Adadelta,1.1779349131684844,0.7857199483595717,79.542,73.56
6,32,random_crop,SGD,1.1559620471200498,0.5439281893519167,79.888,81.51
7,32,random_crop,SGD with Nesterov,1.147717129474867,0.578310429764251,80.24,80.63
8,32,random_crop,ASGD,1.3453717110100574,0.8755905237822487,76.532,71.67999999999999
9,32,random_crop,Adam,2.9129641660878236,5.419941156436079,47.858000000000004,24.990000000000002
10,32,random_crop,Adamax,2.0267908972040325,1.3379169740615942,64.588,56.64
11,32,random_crop,Adadelta,1.4913000414101496,1.6316866396715084,74.086,58.35
12,32,random_horizontal_flip,SGD,0.9680346149858267,0.6706607820698247,83.114,76.72
13,32,random_horizontal_flip,SGD with Nesterov,0.9466804728646043,0.5976739243958324,83.478,79.60000000000001
14,32,random_horizontal_flip,ASGD,1.1583427489375886,1.0575780644774817,79.886,66.96
15,32,random_horizontal_flip,Adam,2.564838623741233,2.0194003227800605,54.668000000000006,41.25
16,32,random_horizontal_flip,Adamax,1.8720168689848593,1.2256596341681556,67.306,58.709999999999994
17,32,random_horizontal_flip,Adadelta,1.2619961632686172,1.2930370167421457,77.896,63.06
18,32,random_rotate,SGD,1.2000842564241747,0.5998586781870443,79.07,79.97
19,32,random_rotate,SGD with Nesterov,1.161061511292186,0.6095164463923762,79.84,78.64999999999999
20,32,random_rotate,ASGD,1.3800689105566541,0.9238586943751326,75.81,69.67
21,32,random_rotate,Adam,2.918275101705003,1.8780196029157303,47.036,37.95
22,32,random_rotate,Adamax,2.1119831347419753,1.082795485330466,62.882000000000005,63.029999999999994
23,32,random_rotate,Adadelta,1.48746750527136,0.7983006938768271,74.012,73.14
24,32,random_resized_crop,SGD,1.0975567515336468,0.6698273140877581,81.024,77.72
25,32,random_resized_crop,SGD with Nesterov,1.0845983761552809,0.55214657289342,81.04,80.83
26,32,random_resized_crop,ASGD,1.316606916644523,0.8012934003394252,77.064,73.27
27,32,random_resized_crop,Adam,2.7480134979243167,1.5209279387903671,51.153999999999996,46.650000000000006
28,32,random_resized_crop,Adamax,1.9911002422934987,1.109108733673827,65.158,62.19
29,32,random_resized_crop,Adadelta,1.431186172207883,0.8393871589971427,75.11,70.71
30,32,random_affine,SGD,1.445198087911917,0.5947003663538363,74.766,79.44
31,32,random_affine,SGD with Nesterov,1.3753238447530103,0.6306977491028393,76.018,78.55
32,32,random_affine,ASGD,1.645290816623434,0.8236181573174632,71.208,72.16
33,32,random_affine,Adam,3.154121119169112,2.2290443798985344,42.03,30.470000000000002
34,32,random_affine,Adamax,2.319438143334782,1.083076714136349,59.184000000000005,62.18
35,32,random_affine,Adadelta,1.7269621582574288,0.8643910357365593,69.808,70.76
36,32,random_erasing,SGD,1.1077068701472255,0.655543883387654,80.628,78.03999999999999
37,32,random_erasing,SGD with Nesterov,1.0775944871240446,0.7101513792436344,81.13,76.79
38,32,random_erasing,ASGD,1.3360658262833067,0.9608898367554235,76.732,68.94
39,32,random_erasing,Adam,2.893020906283622,1.5070151648582362,47.536,48.15
40,32,random_erasing,Adamax,2.088492531541518,1.0128034402768071,63.43600000000001,63.849999999999994
41,32,random_erasing,Adadelta,1.417183203225859,0.9287618305355596,75.09400000000001,69.84
42,64,no,SGD,0.923961648093465,0.6285816740458179,83.81,78.7
43,64,no,SGD with Nesterov,0.8665538474421977,0.615566818387645,84.87,79.91
44,64,no,ASGD,1.2611454617794213,3.296333820956528,78.08,36.6
45,64,no,Adam,2.080759836737152,1.9110645761915073,63.804,44.47
46,64,no,Adamax,1.4939737120247862,0.875265062614611,74.264,69.85
47,64,no,Adadelta,1.5398569873836645,1.0611595788579078,73.246,64.41
48,64,random_crop,SGD,1.2598689399716798,0.9877104675693876,78.208,69.21000000000001
49,64,random_crop,SGD with Nesterov,1.2117460912755689,0.6500717113921597,79.008,78.16
50,64,random_crop,ASGD,1.5693907413793646,1.4483287790019042,72.38799999999999,58.76
51,64,random_crop,Adam,2.28592834189115,1.6970662349348615,59.532,46.82
52,64,random_crop,Adamax,1.6568444045760748,0.8583429772762736,71.198,70.66
53,64,random_crop,Adadelta,1.813907766738511,1.2108673571021693,68.124,59.62
54,64,random_horizontal_flip,SGD,1.0335162182521942,0.5834010419951883,82.048,80.05
55,64,random_horizontal_flip,SGD with Nesterov,0.9951444937826117,0.8243170484995387,82.616,73.04
56,64,random_horizontal_flip,ASGD,1.368201950550689,0.9753555036654138,75.912,67.82000000000001
57,64,random_horizontal_flip,Adam,2.0683755708472504,1.2857728156314534,63.896,56.06
58,64,random_horizontal_flip,Adamax,1.5256130632079776,0.9978798024213997,73.60600000000001,65.75
59,64,random_horizontal_flip,Adadelta,1.6262552072782346,1.1166961899228915,71.37400000000001,61.99
60,64,random_rotate,SGD,1.2828502081086874,0.7345552953185549,77.298,75.32
61,64,random_rotate,SGD with Nesterov,1.2148708191978963,0.6616934534091099,78.81,77.58
62,64,random_rotate,ASGD,1.5992080054014846,1.2050796785172384,71.902,62.12
63,64,random_rotate,Adam,2.345393170023818,1.3404350903383486,58.238,52.32
64,64,random_rotate,Adamax,1.759739267704127,0.9639702708857834,69.238,66.7
65,64,random_rotate,Adadelta,1.8331732591399756,1.0558783275306605,67.794,63.39
66,64,random_resized_crop,SGD,1.16088202618577,0.7183671196934523,79.816,77.37
67,64,random_resized_crop,SGD with Nesterov,1.1556252430543266,0.8714532314971754,79.786,72.45
68,64,random_resized_crop,ASGD,1.4956042573732489,1.713592224819645,73.98599999999999,53.18000000000001
69,64,random_resized_crop,Adam,2.22703590310748,1.451371651546211,60.702,51.09
70,64,random_resized_crop,Adamax,1.6646685023289507,0.8362000709886004,71.268,71.19
71,64,random_resized_crop,Adadelta,1.7860932607784905,1.3049360471925917,68.604,59.489999999999995
72,64,random_affine,SGD,1.5197597893760026,0.6979123427989377,73.48599999999999,75.9
73,64,random_affine,SGD with Nesterov,1.4527209969737647,0.7148936922383157,74.678,75.17
74,64,random_affine,ASGD,1.834377548273872,3.0253428630768116,67.784,39.21
75,64,random_affine,Adam,2.5182644127275022,1.4933243192684877,54.974000000000004,49.84
76,64,random_affine,Adamax,1.962441069238326,1.3078828150299704,65.658,58.989999999999995
77,64,random_affine,Adadelta,2.079778351289842,1.2326541098819417,63.029999999999994,57.58
78,64,random_erasing,SGD,1.185171134712751,0.6781243290870812,79.232,78.14
79,64,random_erasing,SGD with Nesterov,1.1312421567147346,0.6581297826235462,80.066,77.49000000000001
80,64,random_erasing,ASGD,1.5334933583846178,1.2958679992681856,72.666,60.39
81,64,random_erasing,Adam,2.291896207710666,1.4910734405942783,59.38,50.94
82,64,random_erasing,Adamax,1.717714349327185,1.027316466638237,70.124,66.82000000000001
83,64,random_erasing,Adadelta,1.7488574458814947,1.086216533259981,69.102,61.79
84,128,no,SGD,1.0430544718452122,0.6886069702951214,81.692,76.58
85,128,no,SGD with Nesterov,0.9695461752164699,0.7037831665594366,83.028,76.14999999999999
86,128,no,ASGD,1.852596823211826,1.8148146747033806,67.218,48.66
87,128,no,Adam,1.5553773650732796,1.1121241933182826,73.244,60.92999999999999
88,128,no,Adamax,1.2136174361114307,0.8447445110429691,78.88199999999999,72.31
89,128,no,Adadelta,2.1610435253518925,1.181140947191021,61.934,57.68
90,128,random_crop,SGD,1.3770342037805816,0.8853245490713965,75.968,71.87
91,128,random_crop,SGD with Nesterov,1.3049445728511762,0.7181657103798057,77.264,76.63
92,128,random_crop,ASGD,2.1523609426625243,1.0990943101387989,61.568,60.77
93,128,random_crop,Adam,1.722489826514593,0.9795300379584108,70.15599999999999,65.91
94,128,random_crop,Adamax,1.3984797042044228,1.1291145523892174,75.934,63.970000000000006
95,128,random_crop,Adadelta,2.480087046123222,1.4372691368754906,55.566,50.18
96,128,random_horizontal_flip,SGD,1.1497052534461936,0.7892641960820065,79.816,75.1
97,128,random_horizontal_flip,SGD with Nesterov,1.0592410553751699,0.6928740151320831,81.56,76.17
98,128,random_horizontal_flip,ASGD,1.8916952402695366,1.2454151277300678,66.354,55.7
99,128,random_horizontal_flip,Adam,1.5787147128063699,0.927745516541638,72.698,69.01
100,128,random_horizontal_flip,Adamax,1.2524259409026417,0.7750980099545249,78.366,73.54
101,128,random_horizontal_flip,Adadelta,2.195543359612565,1.136065943331658,61.1,58.19
102,128,random_rotate,SGD,1.3838957918574437,0.7241890385181089,75.708,75.58
103,128,random_rotate,SGD with Nesterov,1.3199974199390168,0.6820146679123745,76.828,77.0
104,128,random_rotate,ASGD,2.0994235676572757,1.3099841830096668,62.444,53.71
105,128,random_rotate,Adam,1.8314656339338065,0.9715538945379136,68.12,65.89
106,128,random_rotate,Adamax,1.4918440354754552,0.8132491919058787,73.836,73.02
107,128,random_rotate,Adadelta,2.3597398749397844,1.1297024088569834,57.80800000000001,59.489999999999995
108,128,random_resized_crop,SGD,1.294627080792966,0.6948985280115393,77.25,76.75
